doc_id_1,doc_id_2,edit_type
50494,85000,exact
55125,85001,exact
5306,85002,exact
33936,85003,exact
67013,85004,exact
63691,85005,exact
53075,85006,exact
39755,85007,exact
62468,85008,exact
46930,85009,exact
76465,85010,exact
28631,85011,exact
66150,85012,exact
18254,85013,exact
36941,85014,exact
18316,85015,exact
12429,85016,exact
81050,85017,exact
32834,85018,exact
69804,85019,exact
78892,85020,exact
19262,85021,exact
40651,85022,exact
12945,85023,exact
9665,85024,exact
43279,85025,exact
61884,85026,exact
73375,85027,exact
13199,85028,exact
46372,85029,exact
56907,85030,exact
41444,85031,exact
80070,85032,exact
83941,85033,exact
26801,85034,exact
72420,85035,exact
62522,85036,exact
58024,85037,exact
68334,85038,exact
34143,85039,exact
8163,85040,exact
71919,85041,exact
1840,85042,exact
12225,85043,exact
52274,85044,exact
81954,85045,exact
149,85046,exact
80202,85047,exact
64694,85048,exact
43664,85049,exact
31969,85050,exact
42625,85051,exact
8255,85052,exact
25043,85053,exact
74384,85054,exact
29059,85055,exact
31275,85056,exact
18677,85057,exact
71170,85058,exact
58716,85059,exact
11955,85060,exact
10544,85061,exact
41950,85062,exact
66576,85063,exact
64131,85064,exact
14294,85065,exact
39511,85066,exact
72255,85067,exact
38153,85068,exact
16359,85069,exact
71754,85070,exact
43614,85071,exact
70816,85072,exact
26634,85073,exact
79060,85074,exact
71726,85075,exact
77020,85076,exact
37703,85077,exact
58325,85078,exact
12010,85079,exact
78156,85080,exact
50449,85081,exact
41555,85082,exact
75451,85083,exact
31733,85084,exact
38054,85085,exact
24100,85086,exact
24823,85087,exact
24475,85088,exact
4321,85089,exact
80317,85090,exact
34086,85091,exact
62459,85092,exact
9055,85093,exact
11773,85094,exact
17068,85095,exact
19601,85096,exact
5064,85097,exact
10518,85098,exact
70857,85099,exact
51287,85100,exact
68756,85101,exact
36127,85102,exact
68392,85103,exact
30867,85104,exact
28206,85105,exact
77306,85106,exact
54974,85107,exact
75981,85108,exact
36072,85109,exact
59056,85110,exact
64573,85111,exact
84042,85112,exact
46840,85113,exact
10796,85114,exact
42509,85115,exact
80318,85116,exact
15119,85117,exact
63759,85118,exact
76949,85119,exact
82594,85120,exact
43944,85121,exact
24953,85122,exact
31855,85123,exact
2124,85124,exact
35525,85125,exact
15353,85126,exact
28896,85127,exact
48766,85128,exact
22345,85129,exact
43586,85130,exact
55853,85131,exact
8151,85132,exact
13186,85133,exact
19183,85134,exact
28675,85135,exact
5928,85136,exact
75217,85137,exact
83126,85138,exact
70018,85139,exact
78927,85140,exact
9698,85141,exact
3499,85142,exact
16311,85143,exact
83230,85144,exact
24709,85145,exact
79473,85146,exact
75491,85147,exact
15688,85148,exact
51276,85149,exact
11997,85150,exact
48514,85151,exact
15210,85152,exact
4769,85153,exact
79364,85154,exact
2835,85155,exact
25505,85156,exact
24244,85157,exact
16239,85158,exact
62814,85159,exact
27600,85160,exact
8006,85161,exact
2986,85162,exact
71334,85163,exact
55786,85164,exact
81343,85165,exact
13303,85166,exact
34068,85167,exact
9175,85168,exact
28944,85169,exact
9433,85170,exact
84793,85171,exact
39460,85172,exact
45913,85173,exact
57156,85174,exact
23634,85175,exact
8000,85176,exact
66012,85177,exact
61227,85178,exact
5161,85179,exact
78182,85180,exact
13227,85181,exact
51285,85182,exact
26129,85183,exact
34096,85184,exact
46996,85185,exact
61632,85186,exact
74680,85187,exact
22206,85188,exact
26661,85189,exact
7608,85190,exact
20736,85191,exact
21227,85192,exact
44867,85193,exact
69399,85194,exact
32858,85195,exact
15363,85196,exact
78222,85197,exact
57974,85198,exact
22913,85199,exact
1730,85200,exact
61816,85201,exact
53727,85202,exact
74594,85203,exact
66663,85204,exact
40821,85205,exact
46812,85206,exact
50940,85207,exact
32890,85208,exact
20108,85209,exact
73478,85210,exact
1630,85211,exact
60024,85212,exact
10364,85213,exact
44029,85214,exact
5989,85215,exact
71345,85216,exact
36815,85217,exact
17673,85218,exact
31474,85219,exact
63154,85220,exact
46166,85221,exact
79971,85222,exact
37732,85223,exact
47081,85224,exact
77368,85225,exact
83066,85226,exact
81405,85227,exact
17346,85228,exact
40671,85229,exact
50858,85230,exact
54318,85231,exact
10580,85232,exact
199,85233,exact
77932,85234,exact
25206,85235,exact
43830,85236,exact
20981,85237,exact
31380,85238,exact
29241,85239,exact
83545,85240,exact
58737,85241,exact
49630,85242,exact
74468,85243,exact
54317,85244,exact
4134,85245,exact
52725,85246,exact
74379,85247,exact
54817,85248,exact
6131,85249,exact
21715,85250,exact
58373,85251,exact
8373,85252,exact
33977,85253,exact
20668,85254,exact
58505,85255,exact
69150,85256,exact
63866,85257,exact
73584,85258,exact
79164,85259,exact
9,85260,exact
5100,85261,exact
64825,85262,exact
42722,85263,exact
40902,85264,exact
61196,85265,exact
6534,85266,exact
54412,85267,exact
24641,85268,exact
71901,85269,exact
82980,85270,exact
10940,85271,exact
17107,85272,exact
1930,85273,exact
52666,85274,exact
54720,85275,exact
41441,85276,exact
444,85277,exact
27987,85278,exact
1873,85279,exact
309,85280,exact
69251,85281,exact
80224,85282,exact
12816,85283,exact
24963,85284,exact
15584,85285,exact
79738,85286,exact
26019,85287,exact
39638,85288,exact
36697,85289,exact
23884,85290,exact
13130,85291,exact
62338,85292,exact
51995,85293,exact
82265,85294,exact
10662,85295,exact
2863,85296,exact
36007,85297,exact
59372,85298,exact
15175,85299,exact
33618,85300,exact
17487,85301,exact
68270,85302,exact
84533,85303,exact
45488,85304,exact
15087,85305,exact
20242,85306,exact
36491,85307,exact
2434,85308,exact
5544,85309,exact
5329,85310,exact
26966,85311,exact
34035,85312,exact
73184,85313,exact
41250,85314,exact
48089,85315,exact
74379,85316,exact
5505,85317,exact
79638,85318,exact
64813,85319,exact
84429,85320,exact
60118,85321,exact
83904,85322,exact
57074,85323,exact
48817,85324,exact
70507,85325,exact
23368,85326,exact
27242,85327,exact
49227,85328,exact
76955,85329,exact
38146,85330,exact
1166,85331,exact
18147,85332,exact
19794,85333,exact
35569,85334,exact
43700,85335,exact
44238,85336,exact
48129,85337,exact
12282,85338,exact
44335,85339,exact
81335,85340,exact
4674,85341,exact
5400,85342,exact
35339,85343,exact
21477,85344,exact
19584,85345,exact
76474,85346,exact
37949,85347,exact
47304,85348,exact
51746,85349,exact
71890,85350,exact
16992,85351,exact
38457,85352,exact
15059,85353,exact
62660,85354,exact
31418,85355,exact
6325,85356,exact
40354,85357,exact
23538,85358,exact
68557,85359,exact
9288,85360,exact
39671,85361,exact
52844,85362,exact
43059,85363,exact
39220,85364,exact
54358,85365,exact
14241,85366,exact
13028,85367,exact
73509,85368,exact
63068,85369,exact
62128,85370,exact
44181,85371,exact
45043,85372,exact
16295,85373,exact
62794,85374,exact
15205,85375,exact
65239,85376,exact
55906,85377,exact
4957,85378,exact
39571,85379,exact
43919,85380,exact
20403,85381,exact
21830,85382,exact
82148,85383,exact
73988,85384,exact
49226,85385,exact
83739,85386,exact
11393,85387,exact
8629,85388,exact
11097,85389,exact
25957,85390,exact
28974,85391,exact
8015,85392,exact
50438,85393,exact
1029,85394,exact
12855,85395,exact
51617,85396,exact
72938,85397,exact
