doc_id_1,doc_id_2,edit_type
394,850,exact
776,851,exact
430,852,exact
41,853,exact
265,854,exact
523,855,exact
497,856,exact
414,857,exact
802,858,exact
849,859,exact
310,860,exact
488,861,exact
366,862,exact
597,863,exact
223,864,exact
516,865,exact
142,866,exact
288,867,exact
143,868,exact
773,869,exact
97,870,exact
633,871,exact
818,872,exact
256,873,exact
545,874,exact
722,875,exact
829,876,exact
616,877,exact
150,878,exact
317,879,exact
101,880,punctuation
747,881,punctuation
75,882,punctuation
700,883,punctuation
338,884,punctuation
483,885,punctuation
573,886,punctuation
103,887,punctuation
362,888,punctuation
444,889,punctuation
323,890,punctuation
625,891,punctuation
655,892,punctuation
209,893,punctuation
565,894,punctuation
488,895,punctuation
453,896,punctuation
533,897,punctuation
266,898,punctuation
63,899,punctuation
824,900,punctuation
561,901,punctuation
14,902,punctuation
95,903,punctuation
736,904,punctuation
408,905,punctuation
727,906,punctuation
844,907,punctuation
803,908,punctuation
684,909,punctuation
744,910,typo
819,911,typo
62,912,typo
695,913,typo
23,914,typo
557,915,typo
435,916,typo
635,917,typo
103,918,typo
266,919,typo
71,920,typo
226,921,typo
73,922,typo
662,923,typo
308,924,typo
358,925,typo
446,926,typo
184,927,typo
62,928,typo
515,929,typo
478,930,typo
40,931,typo
610,932,typo
103,933,typo
716,934,typo
400,935,typo
204,936,typo
266,937,typo
367,938,typo
749,939,typo
285,940,word_sub
19,941,word_sub
43,942,word_sub
41,943,word_sub
210,944,word_sub
697,945,word_sub
265,946,word_sub
571,947,word_sub
322,948,word_sub
375,949,word_sub
581,950,word_sub
43,951,word_sub
767,952,word_sub
718,953,word_sub
622,954,word_sub
671,955,word_sub
506,956,word_sub
729,957,word_sub
659,958,word_sub
469,959,word_sub
655,960,word_sub
445,961,word_sub
381,962,word_sub
550,963,word_sub
182,964,word_sub
212,965,word_sub
384,966,word_sub
601,967,word_sub
298,968,word_sub
9,969,word_sub
669,970,reorder
13,971,reorder
330,972,reorder
467,973,reorder
809,974,reorder
567,975,reorder
763,976,reorder
711,977,reorder
507,978,reorder
487,979,reorder
82,980,reorder
52,981,reorder
548,982,reorder
411,983,reorder
809,984,reorder
639,985,prefix_suffix
336,986,prefix_suffix
24,987,prefix_suffix
494,988,prefix_suffix
640,989,prefix_suffix
694,990,prefix_suffix
407,991,prefix_suffix
45,992,prefix_suffix
231,993,prefix_suffix
246,994,prefix_suffix
650,995,prefix_suffix
288,996,prefix_suffix
336,997,prefix_suffix
174,998,prefix_suffix
243,999,prefix_suffix
